Survey,Title,Description,Where is it located.lat,Where is it located.lon,updated,source
Facilities,Govt food facility,Mustufabad-GBSS,28.7109252,77.2755967,2020-03-29,https://www.google.com/maps/d/u/0/viewer?mid=1X11pR1yEU4F2gxG3NlHM_c69LbW0uRWS&ll=28.64056303645113%2C77.13994047119138&z=11
Facilities,Govt food facility,Mustufabad-GBSS,28.7109252,77.2755967,2020-03-29,https://www.google.com/maps/d/u/0/viewer?mid=1X11pR1yEU4F2gxG3NlHM_c69LbW0uRWS&ll=28.64056303645113%2C77.13994047119138&z=11
Facilities,Govt food facility,Tukhmirpur-GBSSS,28.7107077,77.2642624,2020-03-29,https://www.google.com/maps/d/u/0/viewer?mid=1X11pR1yEU4F2gxG3NlHM_c69LbW0uRWS&ll=28.64056303645113%2C77.13994047119138&z=11
Facilities,Govt food facility,Tukhmirpur-GBSSS,28.7107077,77.2642624,2020-03-29,https://www.google.com/maps/d/u/0/viewer?mid=1X11pR1yEU4F2gxG3NlHM_c69LbW0uRWS&ll=28.64056303645113%2C77.13994047119138&z=11
Facilities,Govt food facility,"Gyan Jyothi Playway vidhyalaya, Nehru Vihar",28.713384,77.26657,2020-03-29,https://www.google.com/maps/d/u/0/viewer?mid=1X11pR1yEU4F2gxG3NlHM_c69LbW0uRWS&ll=28.64056303645113%2C77.13994047119138&z=11
Facilities,Govt food facility,"Gyan Jyothi Playway vidhyalaya, Nehru Vihar",28.713384,77.26657,2020-03-29,https://www.google.com/maps/d/u/0/viewer?mid=1X11pR1yEU4F2gxG3NlHM_c69LbW0uRWS&ll=28.64056303645113%2C77.13994047119138&z=11
Facilities,Govt food facility,"Nigam Pratibha Vidyalaya (Girls) - Sonia Vihar, 3rd Pusta, Delhi",28.7167695,77.2640877,2020-03-29,https://www.google.com/maps/d/u/0/viewer?mid=1X11pR1yEU4F2gxG3NlHM_c69LbW0uRWS&ll=28.64056303645113%2C77.13994047119138&z=11
Facilities,Govt food facility,"Nigam Pratibha Vidyalaya (Girls) - Sonia Vihar, 3rd Pusta, Delhi",28.7167695,77.2640877,2020-03-29,https://www.google.com/maps/d/u/0/viewer?mid=1X11pR1yEU4F2gxG3NlHM_c69LbW0uRWS&ll=28.64056303645113%2C77.13994047119138&z=11
Facilities,Govt food facility,Sonia Vihar-GGSSS,28.7333916,77.2484789,2020-03-29,https://www.google.com/maps/d/u/0/viewer?mid=1X11pR1yEU4F2gxG3NlHM_c69LbW0uRWS&ll=28.64056303645113%2C77.13994047119138&z=11
Facilities,Govt food facility,Sonia Vihar-GGSSS,28.7333916,77.2484789,2020-03-29,https://www.google.com/maps/d/u/0/viewer?mid=1X11pR1yEU4F2gxG3NlHM_c69LbW0uRWS&ll=28.64056303645113%2C77.13994047119138&z=11
